,Name,Competition,Region,Year,Instrument,Prize,Gender
402, Ashley Wass,Leeds,Europe,2000,piano,5,1
403, Tatiana Kolesova,Leeds,Europe,2000,piano,6,1
404, Ilya Itin,Leeds,Europe,1996,piano,1,0
405, Roberto Cominati,Leeds,Europe,1996,piano,2,0
406, Aleksandar Madžar,Leeds,Europe,1996,piano,3,0
407, Sa Chen,Leeds,Asia,1996,piano,4,1
408, Armen Babakhanian,Leeds,Europe,1996,piano,5,0
409, Ekaterina Apekisheva,Leeds,Other,1996,piano,6,1
410, Ricardo Castro,Leeds,Other,1993,piano,1,0
411, Leon McCawley,Leeds,Europe,1993,piano,2,0
412, Mark Anderson,Leeds,USA/Canada,1993,piano,3,0
413, Filippo Gamba,Leeds,Europe,1993,piano,4,0
414, Maxim Philippov,Leeds,Europe,1993,piano,5,0
415, Margarita Shevchenko,Leeds,Europe,1993,piano,6,1
416, Artur Pizarro,Leeds,Europe,1990,piano,1,0
417, Lars Vogt,Leeds,Europe,1990,piano,2,0
418, Éric Le Sage,Leeds,Europe,1990,piano,3,0
419, Balázs Szokolay,Leeds,Europe,1990,piano,4,0
